DemandID,Name,Address,longitude,latitude,Demand,SupplyID
1,Memorial Drive / Deerfoot Trail SE,Memorial Drive / Deerfoot Trail SE,-114.0181691,51.04785215,25,19
2,5 Avenue / 1 Street SE,5 Avenue / 1 Street SE,-114.0603862,51.04833141,25,28
3,6 Avenue / 1 Street SE,6 Avenue / 1 Street SE,-114.0606748,51.04723757,25,47
4,Crowchild Trail / Shaganappi Trail NW,Crowchild Trail / Shaganappi Trail NW,-114.149379,51.09884942,25,28
5,Glenmore Trail / 14 Street SW (West),Glenmore Trail / 14 Street SW (West),-114.0949781,50.99380954,25,21
6,Heritage Drive / 14 Street SW,Heritage Drive / 14 Street SW,-114.094847,50.97952967,25,13
7,John Laurie Blvd / 14 Street NW,John Laurie Blvd / 14 Street NW,-114.0947697,51.08971766,25,1
8,McKnight Blvd / 52 Street NE,McKnight Blvd / 52 Street NE,-113.9582103,51.09588368,25,45
9,Southland Drive / Deerfoot Trail SE,Southland Drive / Deerfoot Trail SE,-114.0344425,50.96710992,25,19
10,Southland Drive / Macleod Trail S,Southland Drive / Macleod Trail S,-114.0713525,50.96514132,25,2
11,16 Avenue / 14 Street NW,16 Avenue / 14 Street NW,-114.0939902,51.06697645,25,18
12,42 Avenue / Macleod Trail S,42 Avenue / Macleod Trail S,-114.0643126,51.01590993,25,31
13,McKnight Blvd / Metis Trail NE,McKnight Blvd / Metis Trail NE,-113.9807844,51.09570016,25,19
14,Memorial Drive / 52 Street E,Memorial Drive / 52 Street E,-113.9558182,51.05325298,25,1
15,8 Avenue / 12 Street SE,8 Avenue / 12 Street SE,-114.0335844,51.04203598,25,21
16,Anderson Road / Macleod Trail S,Anderson Road / Macleod Trail S,-114.0707168,50.95057929,25,43
17,5 Avenue btw 1 Street & 2 Street SW,5 Avenue btw 1 Street & 2 Street SW,-114.06642,51.04848537,25,19
18,John Laurie Blvd / Shaganappi Trail NW,John Laurie Blvd / Shaganappi Trail NW,-114.1398453,51.10884332,25,35
19,Kensington Road / Crowchild Trail NW,Kensington Road / Crowchild Trail NW,-114.1180882,51.05248736,25,14
20,McKnight Boulevard / Barlow Trail NE,McKnight Boulevard / Barlow Trail NE,-114.0018281,51.09279213,25,26
21,Riverfront Avenue / 1 Street SE,Riverfront Avenue / 1 Street SE,-114.0600141,51.05113127,25,6
22,Samis Road / Centre Street North,Samis Road / Centre Street North,-114.0624739,51.05498343,25,44
23,Southland Drive / Blackfoot Trail SE,Southland Drive / Blackfoot Trail SE,-114.0387603,50.96584162,25,17
24,11 Avenue / Macleod Trail S,11 Avenue / Macleod Trail S,-114.0583524,51.04224801,25,44
25,8 Avenue / 11 Street SW,8 Avenue / 11 Street SW,-114.0886408,51.04625799,25,47
26,58 Avenue / Blackfoot Trail SE,58 Avenue / Blackfoot Trail SE,-114.0490102,51.00130202,25,16
27,Heritage Drive / Blackfoot Trail SE,Heritage Drive / Blackfoot Trail SE,-114.0504938,50.98091787,25,19
28,16 Avenue / 36 Street NE,16 Avenue / 36 Street NE,-113.9814146,51.06694498,25,16
29,25 Avenue / Spiller Road SE,25 Avenue / Spiller Road SE,-114.0501597,51.02975948,25,27
30,Bow Trail / Pumphouse Road SW,Bow Trail / Pumphouse Road SW,-114.1036354,51.04704268,25,20
31,McKnight Blvd / Stoney Trail NE,McKnight Blvd / Stoney Trail NE,-113.915867,51.09675876,25,37
32,Blackfoot Trail / 19 Street SE,Blackfoot Trail / 19 Street SE,-114.0179088,51.03764902,25,33
33,16 Avenue / Centre Street N,16 Avenue / Centre Street N,-114.0626323,51.06679951,25,3
34,47 Avenue / Deerfoot Trail SE,47 Avenue / Deerfoot Trail SE,-114.0084668,51.01092819,25,36
35,5 Avenue / 3 Street SE,5 Avenue / 3 Street SE,-114.0554787,51.04817598,25,36
36,Country Hills Blvd / Royal Birch Blvd NW,Country Hills Blvd / Royal Birch Blvd NW,-114.2130566,51.14985314,25,40
37,Memorial Drive / Edmonton Trail NE,Memorial Drive / Edmonton Trail NE,-114.0501357,51.05080178,25,45
38,149 Avenue / Macleod Trail S,149 Avenue / Macleod Trail S,-114.0703057,50.91888662,25,16
39,4 Avenue / 10 Street SW,4 Avenue / 10 Street SW,-114.0868196,51.04917679,25,26
40,Bow Trail / 6 Avenue SW,Bow Trail / 6 Avenue SW,-114.0913813,51.04749304,25,47
41,Memorial Drive / 9 Street NW,Memorial Drive / 9 Street NW,-114.0811808,51.0536259,25,46
42,16 Avenue / 19 Street NE,16 Avenue / 19 Street NE,-114.0140245,51.06703731,25,25
43,16 Avenue / Stoney Trail NW,16 Avenue / Stoney Trail NW,-114.2317849,51.08865135,25,20
44,Anderson Road / 14 Street SW,Anderson Road / 14 Street SW,-114.0944192,50.95074099,25,14
